2023-01-19 11:53:43.984  INFO [microservice3,,,] 3236 --- [main] com.javainuse.Microservice3Application   : No active profile set, falling back to default profiles: default
2023-01-19 11:53:44.871  INFO [microservice3,,,] 3236 --- [main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=4209df29-4d52-3ae9-9715-1245576acaad
2023-01-19 11:53:45.159  INFO [microservice3,,,] 3236 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$c4fe6232] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-01-19 11:53:45.749  INFO [microservice3,,,] 3236 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8082 (http)
2023-01-19 11:53:45.789  INFO [microservice3,,,] 3236 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2023-01-19 11:53:45.790  INFO [microservice3,,,] 3236 --- [main] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.22]
2023-01-19 11:53:46.027  INFO [microservice3,,,] 3236 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2023-01-19 11:53:46.027  INFO [microservice3,,,] 3236 --- [main] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 2015 ms
2023-01-19 11:53:46.865  INFO [microservice3,,,] 3236 --- [main] o.s.s.concurrent.ThreadPoolTaskExecutor  : Initializing ExecutorService 'applicationTaskExecutor'
2023-01-19 11:53:48.442  INFO [microservice3,,,] 3236 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8082 (http) with context path ''
2023-01-19 11:53:48.449  INFO [microservice3,,,] 3236 --- [main] com.javainuse.Microservice3Application   : Started Microservice3Application in 6.292 seconds (JVM running for 7.187)
2023-01-19 11:53:58.066  INFO [microservice1,,,] 12456 --- [main] com.javainuse.Microservice1Application   : No active profile set, falling back to default profiles: default
2023-01-19 11:53:58.822  INFO [microservice1,,,] 12456 --- [main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=f92ed571-a4fd-3ab2-ab21-4652670aed3f
2023-01-19 11:53:59.084  INFO [microservice1,,,] 12456 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$d1d049fd] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
